,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
0,Sadak 2,Alia Bhatt,Priyanka Bose,Sanjay Dutt," 50,471",Action,Drama,-,-,-,TV-MA
1,Spider-Man: Across the Spider-Verse,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry," 2,719,947 ",Animation,Action,Adventure,"$120,500,000",2,PG
2,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart," 1,888,117 ",Action,Crime,Drama,"$534,987,076",105,PG-13
3,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen," 2,414,457 ",Action,Adventure,Drama,"$379,427,292",338,PG-13
4,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page," 1,916,724 ",Action,Adventure,Sci-Fi,"$292,587,330",101,PG-13
5,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom," 1,704,165 ",Action,Adventure,Drama,Color,154,PG-13
6,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen," 1,958,969 ",Action,Adventure,Drama,"$342,952,511",636,PG-13
7,The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss," 1,321,848 ",Action,Sci-Fi,-,"$172,076,928",209,R
8,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher," 119,541",Action,Adventure,Fantasy,Color,665,PG
9,Soorarai Pottru,Suriya,Paresh Rawal,Urvashi," 1,394,303 ",Action,Drama,-,-,-,TV-MA
10,Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher," 1,123,665 ",Action,Adventure,Fantasy,United States,247,PG
11,Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong," 352,980 ",Action,Sci-Fi,-,United States,363,R
12,Seven Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima," 61,050",Action,Drama,-,"$318,649","1,483",Not Rated
13,Harakiri,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita," 60,011",Action,Drama,Mystery,-,"3,146",Not Rated
14,Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna," 1,190,035 ",Action,Drama,Mystery,Color,-,-
15,Léon: The Professional,Jean Reno,Gary Oldman,Natalie Portman," 1,536,974 ",Action,Crime,Drama,"$19,501,238",224,R
16,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen," 571,554 ",Action,Adventure,Drama,Color,243,R
17,Spider-Man: Into the Spider-Verse,Shameik Moore,Jake Johnson,Hailee Steinfeld," 1,181,261 ",Animation,Action,Adventure,"$190,241,310",15,PG
18,Indiana Jones and the Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman," 987,273 ",Action,Adventure,-,"$248,159,971",73,PG
19,Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo," 1,124,570 ",Action,Adventure,Drama,"$858,373,000",128,PG-13
20,Avengers: Infinity War,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo," 596,759 ",Action,Adventure,Sci-Fi,"$678,815,482",263,PG-13
21,Oldboy,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong," 1,742,522 ",Action,Drama,Mystery,"$707,481",314,R
22,The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway," 732,856 ",Action,Drama,Thriller,"$448,149,584",368,PG-13
23,Aliens,Sigourney Weaver,Michael Biehn,Carrie Henn," 36,154",Action,Adventure,Sci-Fi,Color,401,R
24,Kaithi,Karthi,Narain,Arjun Das," 31,212",Action,Adventure,Crime,-,"4,362",Not Rated
25,Asuran,Dhanush,Manju Warrier,Prakash Raj," 591,364 ",Action,Drama,-,-,-,Not Rated
26,Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller," 676,953 ",Action,Drama,-,"$718,732,821",41,PG-13
27,Heat,Al Pacino,Robert De Niro,Val Kilmer," 1,078,175 ",Action,Crime,Drama,Color,79,R
28,North by Northwest,Cary Grant,Eva Marie Saint,James Mason," 407,027 ",Action,Adventure,Mystery,Color,336,Approved
29,Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher," 334,745 ",Action,Adventure,Fantasy,United States,427,PG
30,Princess Mononoke,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka," 95,556",Animation,Action,Adventure,Color,"1,386",PG-13
31,Kantara,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar," 197,438 ",Action,Adventure,Drama,Color,"3,609",Not Rated
32,Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh," 139,702 ",Action,Biography,Drama,-,"4,661",Not Rated
33,Raatchasan,Vishnu Vishal,Amala Paul,Radha Ravi," 63,902",Action,Crime,Drama,-,-,Not Rated
34,K.G.F: Chapter 2,Yash,Sanjay Dutt,Raveena Tandon," 46,976",Action,Crime,Drama,Color,-,Not Rated
35,Vikram,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil," 124,840",Action,Crime,Thriller,Color,-,-
36,Shershaah,Sidharth Malhotra,Kiara Advani,Shiv Panditt," 156,973",Action,Biography,Drama,-,-,TV-14
